fold,edge_idx,x_eval,activation
0,1,0.23618090152740479,0.5925341844558716
0,0,0.24623115360736847,-1.0459699630737305
0,1,0.24623115360736847,0.5968072414398193
0,0,0.25628140568733215,-1.0522626638412476
0,1,0.25628140568733215,0.5994740724563599
0,0,0.26633167266845703,-1.0582969188690186
0,1,0.26633167266845703,0.6005890965461731
0,0,0.2763819098472595,-1.0640767812728882
0,1,0.2763819098472595,0.6003067493438721
0,0,0.286432147026062,-1.0696066617965698
0,1,0.286432147026062,0.5987840890884399
0,0,0.2964824140071869,-1.0748907327651978
0,1,0.2964824140071869,0.5961780548095703
0,0,0.3065326511859894,-1.079933524131775
0,1,0.3065326511859894,0.5926455855369568
0,0,0.31658291816711426,-1.084738850593567
0,1,0.31658291816711426,0.5883435010910034
0,0,0.32663315534591675,-1.0893113613128662
0,1,0.32663315534591675,0.5834288597106934
0,0,0.3366834223270416,-1.093654990196228
0,1,0.3366834223270416,0.5780586004257202
0,0,0.3467336595058441,-1.0977740287780762
0,1,0.3467336595058441,0.5723897218704224
0,0,0.356783926486969,-1.1016725301742554
0,1,0.356783926486969,0.5665790438652039
0,0,0.3668341636657715,-1.1053552627563477
0,1,0.3668341636657715,0.5607835650444031
0,0,0.37688443064689636,-1.1088261604309082
0,1,0.37688443064689636,0.5551602244377136
0,0,0.38693466782569885,-1.1120892763137817
0,1,0.38693466782569885,0.5498659610748291
0,0,0.39698493480682373,-1.1151492595672607
0,1,0.39698493480682373,0.5450577139854431
0,0,0.4070351719856262,-1.1180100440979004
0,1,0.4070351719856262,0.540892481803894
0,0,0.4170854389667511,-1.1206756830215454
0,1,0.4170854389667511,0.5375271439552307
0,0,0.4271356761455536,-1.1231509447097778
0,1,0.4271356761455536,0.5351186990737915
0,0,0.43718594312667847,-1.1254397630691528
0,1,0.43718594312667847,0.5338240265846252
0,0,0.44723618030548096,-1.1275464296340942
0,1,0.44723618030548096,0.5338000655174255
0,0,0.45728641748428345,-1.1294751167297363
0,1,0.45728641748428345,0.5352038145065308
0,0,0.4673366844654083,-1.131230115890503
0,1,0.4673366844654083,0.5381922125816345
0,0,0.4773869216442108,-1.1328157186508179
0,1,0.4773869216442108,0.5429221391677856
0,0,0.4874371886253357,-1.1342360973358154
0,1,0.4874371886253357,0.5495506525039673
0,0,0.4974874258041382,-1.1354954242706299
0,1,0.4974874258041382,0.5582345724105835
0,0,0.5075376629829407,-1.1365987062454224
0,1,0.5075376629829407,0.5691059827804565
0,0,0.5175879597663879,-1.1375551223754883
0,1,0.5175879597663879,0.5820807814598083
0,0,0.5276381969451904,-1.1383765935897827
0,1,0.5276381969451904,0.5969628691673279
0,0,0.5376884341239929,-1.1390748023986816
0,1,0.5376884341239929,0.6135557889938354
0,0,0.5477386713027954,-1.1396619081497192
0,1,0.5477386713027954,0.6316627860069275
0,0,0.5577889680862427,-1.1401493549346924
0,1,0.5577889680862427,0.6510872840881348
0,0,0.5678392052650452,-1.1405493021011353
0,1,0.5678392052650452,0.6716325283050537
0,0,0.5778894424438477,-1.1408734321594238
0,1,0.5778894424438477,0.6931018233299255
0,0,0.5879396796226501,-1.1411336660385132
0,1,0.5879396796226501,0.715298593044281
0,0,0.5979899764060974,-1.1413415670394897
0,1,0.5979899764060974,0.7380261421203613
0,0,0.6080402135848999,-1.1415092945098877
0,1,0.6080402135848999,0.7610877752304077
0,0,0.6180904507637024,-1.141648530960083
0,1,0.6180904507637024,0.7842866778373718
0,0,0.6281406879425049,-1.1417711973190308
0,1,0.6281406879425049,0.8074263334274292
0,0,0.6381909251213074,-1.1418890953063965
0,1,0.6381909251213074,0.8303101062774658
0,0,0.6482412219047546,-1.1420137882232666
0,1,0.6482412219047546,0.8527413606643677
0,0,0.6582914590835571,-1.1421575546264648
0,1,0.6582914590835571,0.8745231628417969
0,0,0.6683416962623596,-1.1423319578170776
0,1,0.6683416962623596,0.8954590559005737
0,0,0.6783919334411621,-1.1425490379333496
0,1,0.6783919334411621,0.9153523445129395
0,0,0.6884422302246094,-1.1428203582763672
0,1,0.6884422302246094,0.93400639295578
0,0,0.6984924674034119,-1.143157720565796
0,1,0.6984924674034119,0.9512243270874023
0,0,0.7085427045822144,-1.14357328414917
0,1,0.7085427045822144,0.9668096303939819
0,0,0.7185929417610168,-1.1440788507461548
0,1,0.7185929417610168,0.9805656671524048
0,0,0.7286432385444641,-1.144685983657837
0,1,0.7286432385444641,0.9922958016395569
0,0,0.7386934757232666,-1.1454066038131714
0,1,0.7386934757232666,1.001802921295166
0,0,0.7487437129020691,-1.1462526321411133
0,1,0.7487437129020691,1.008890986442566
0,0,0.7587939500808716,-1.1472318172454834
0,1,0.7587939500808716,1.0134048461914062
0,0,0.7688442468643188,-1.1483306884765625
0,1,0.7688442468643188,1.0154337882995605
0,0,0.7788944840431213,-1.1495264768600464
0,1,0.7788944840431213,1.015155553817749
0,0,0.7889447212219238,-1.1507974863052368
0,1,0.7889447212219238,1.01274836063385
0,0,0.7989949584007263,-1.1521211862564087
0,1,0.7989949584007263,1.0083894729614258
0,0,0.8090452551841736,-1.1534757614135742
0,1,0.8090452551841736,1.0022573471069336
0,0,0.8190954923629761,-1.1548389196395874
0,1,0.8190954923629761,0.994529664516449
0,0,0.8291457295417786,-1.156188726425171
0,1,0.8291457295417786,0.9853841066360474
0,0,0.839195966720581,-1.1575026512145996
0,1,0.839195966720581,0.9749988317489624
0,0,0.8492462038993835,-1.1587588787078857
0,1,0.8492462038993835,0.96355140209198
0,0,0.8592965006828308,-1.1599351167678833
0,1,0.8592965006828308,0.951219916343689
0,0,0.8693467378616333,-1.1610093116760254
0,1,0.8693467378616333,0.9381822347640991
0,0,0.8793969750404358,-1.161959171295166
0,1,0.8793969750404358,0.9246162176132202
0,0,0.8894472122192383,-1.1627628803253174
0,1,0.8894472122192383,0.910699725151062
0,0,0.8994975090026855,-1.1633979082107544
0,1,0.8994975090026855,0.8966104388237
0,0,0.909547746181488,-1.1638425588607788
0,1,0.909547746181488,0.8825265765190125
0,0,0.9195979833602905,-1.1640743017196655
0,1,0.9195979833602905,0.8686257600784302
0,0,0.929648220539093,-1.1640708446502686
0,1,0.929648220539093,0.8550860285758972
0,0,0.9396985173225403,-1.1638108491897583
0,1,0.9396985173225403,0.842085063457489
0,0,0.9497487545013428,-1.1632715463638306
0,1,0.9497487545013428,0.8298008441925049
0,0,0.9597989916801453,-1.1624306440353394
0,1,0.9597989916801453,0.8184113502502441
0,0,0.9698492288589478,-1.1612666845321655
0,1,0.9698492288589478,0.8080942630767822
0,0,0.979899525642395,-1.1597568988800049
0,1,0.979899525642395,0.7990274429321289
0,0,0.9899497628211975,-1.15787935256958
0,1,0.9899497628211975,0.7913890480995178
0,0,1.0,-1.1556121110916138
0,1,1.0,0.7853566408157349
1,0,-1.0,2.5026159286499023
1,1,-1.0,-0.17500144243240356
1,0,-0.9899497628211975,2.483400583267212
1,1,-0.9899497628211975,-0.16487687826156616
1,0,-0.979899525642395,2.462630271911621
1,1,-0.979899525642395,-0.15594005584716797
1,0,-0.9698492288589478,2.4403188228607178
1,1,-0.9698492288589478,-0.14812159538269043
1,0,-0.9597989916801453,2.416482448577881
1,1,-0.9597989916801453,-0.1413518786430359
1,0,-0.9497487545013428,2.3911349773406982
1,1,-0.9497487545013428,-0.1355609893798828
1,0,-0.9396985173225403,2.3642921447753906
1,1,-0.9396985173225403,-0.13067960739135742
1,0,-0.929648220539093,2.335967540740967
1,1,-0.929648220539093,-0.12663793563842773
1,0,-0.9195979833602905,2.3061773777008057
1,1,-0.9195979833602905,-0.12336629629135132
1,0,-0.909547746181488,2.2749361991882324
1,1,-0.909547746181488,-0.12079524993896484
1,0,-0.8994975090026855,2.2422585487365723
1,1,-0.8994975090026855,-0.11885511875152588
1,0,-0.8894472122192383,2.2081594467163086
1,1,-0.8894472122192383,-0.11747616529464722
1,0,-0.8793969750404358,2.172654151916504
1,1,-0.8793969750404358,-0.11658883094787598
1,0,-0.8693467378616333,2.135756492614746
1,1,-0.8693467378616333,-0.11612361669540405
1,0,-0.8592965006828308,2.097482204437256
1,1,-0.8592965006828308,-0.11601066589355469
1,0,-0.8492462038993835,2.0578460693359375
1,1,-0.8492462038993835,-0.116180419921875
1,0,-0.839195966720581,2.016862392425537
1,1,-0.839195966720581,-0.11656332015991211
1,0,-0.8291457295417786,1.974547266960144
1,1,-0.8291457295417786,-0.11708980798721313
