noise_pct,method,r2_noisy,r2_clean,n_active,coeff_V,coeff_SdVdS,coeff_S2d2VdS2,rel_err_V,rel_err_SdVdS,rel_err_S2d2VdS2,max_rel_err,mean_rel_err,correct_structure
0.07,weak,0.7232338193565864,0.8845562858528846,5,0.1551269817471987,0.08997749767104408,0.010207527163564295,2.1025396349439736,2.7995499534208816,1.5103763581782146,2.7995499534208816,2.13748864884769,False
0.1,fd,-0.0023731376919715608,-0.48591924932905717,4,-0.17554349962483157,0.02561163591846837,0.0,4.510869992496631,1.5122327183693673,1.0,4.510869992496631,2.3410342369553327,False
0.1,savgol,0.050800683702286076,0.8164470884009228,4,-0.1306817000226155,0.29256408722285526,0.0,3.6136340004523104,6.851281744457105,1.0,6.851281744457105,3.821638581636472,False
0.1,neural,0.9117746513981402,0.1190250954891019,5,-0.4186344425552625,-0.19812104720786433,-0.057159057236727574,9.372688851105249,2.962420944157287,1.857952861836378,9.372688851105249,4.731020885699638,False
0.1,weak,0.5991820034593602,0.8877538286326282,5,0.09745655940851262,0.1252682406423906,0.010546957518144003,0.9491311881702524,3.505364812847812,1.5273478759072001,3.505364812847812,1.9939479589750881,False
0.12,fd,-0.001795286429095766,-0.7203096006223833,3,-0.1741245812212555,0.0,0.0,4.482491624425109,1.0,1.0,4.482491624425109,2.1608305414750366,False
0.12,savgol,0.03286604524885939,0.7974198908936485,4,-0.14424755774134645,0.28950429533230626,0.0,3.8849511548269287,6.790085906646125,1.0,6.790085906646125,3.891679020491018,False
0.12,neural,0.9184639240808943,-0.01993663558101666,5,-0.4657629022064744,-0.20914839602381702,-0.0632080856494618,10.31525804412949,3.1829679204763406,2.1604042824730896,10.31525804412949,5.219543415692973,False
0.12,weak,0.5268908709916265,0.8873836705680758,5,0.05295782087792855,0.15010741091704596,0.010549464039293705,0.059156417558570984,4.00214821834092,1.527473201964685,4.00214821834092,1.862925945954725,False
0.15,fd,-0.0011387514266796295,-0.9947758546976644,4,-0.16456641493344082,-0.029738818077249842,0.0,4.291328298668816,0.4052236384550032,1.0,4.291328298668816,1.8988506457079397,False
0.15,savgol,0.018019593910280962,0.7567364720606268,4,-0.1583923770978934,0.2781856167053194,0.0,4.167847541957867,6.563712334106387,1.0,6.563712334106387,3.9105199586880843,False
0.15,neural,0.927244997216897,-0.20683002297883069,5,-0.514642265061538,-0.22881047482404124,-0.07039040666478777,11.29284530123076,3.5762094964808244,2.5195203332393876,11.29284530123076,5.79619171031699,False
0.15,weak,0.4374286902114334,0.8788612654982755,5,-0.016476279433485473,0.18626318297247368,0.010299679498628783,1.3295255886697093,4.725263659449473,1.514983974931439,4.725263659449473,2.5232577410168737,False
0.2,fd,-0.0004759831489329347,-1.2981236937650276,4,-0.1480136001553278,-0.05456260059908997,0.0,3.960272003106556,0.0912520119817993,1.0,3.960272003106556,1.683841338362785,False
0.2,savgol,0.00686915368734442,0.649905113300785,4,-0.17427067169834204,0.2504720453684738,0.0,4.485413433966841,6.009440907369475,1.0,6.009440907369475,3.831618113778772,False
0.2,neural,0.9394558686411283,-0.4338674981020425,5,-0.5530197080380652,-0.2580427730826609,-0.07813089012692849,12.060394160761305,4.160855461653218,2.9065445063464237,12.060394160761305,6.375931376253649,False
0.2,weak,0.32789896816696973,0.8316006820966351,5,-0.13481315367307484,0.24189946244325222,0.009374483918299504,3.6962630734614965,5.837989248865044,1.468724195914975,5.837989248865044,3.6676588394138387,False
0.25,fd,-0.00010239322468486023,-1.5343728771778786,4,-0.13019323586226592,-0.06740972457057696,0.0,3.6038647172453184,0.34819449141153924,1.0,3.6038647172453184,1.6506864028856192,False
0.25,savgol,0.002465408971922267,0.5056776519159292,4,-0.18342959195350478,0.2209400306684305,0.0,4.668591839070095,5.418800613368609,1.0,5.418800613368609,3.695797484146235,False
0.25,neural,0.9498680471892856,-0.8002424164521629,5,-0.6259316089945909,-0.2883454314883141,-0.08932045917532759,13.518632179891817,4.766908629766282,3.4660229587663784,13.518632179891817,7.250521256141492,False
0.25,weak,0.25218168890530146,0.7271515460367425,5,-0.2424200552725437,0.28063022433289225,0.008204119321795985,5.848401105450874,6.612604486657845,1.4102059660897992,6.612604486657845,4.623737186066173,False
0.3,fd,0.0001769374654256861,-1.7967573593699022,4,-0.11675519846295077,-0.0755307177098372,0.0,3.3351039692590154,0.510614354196744,1.0,3.3351039692590154,1.61523944115192,False
0.3,savgol,0.0007624343708728665,0.34534507095355615,4,-0.18717926293971748,0.1942172488767177,0.0,4.743585258794349,4.8843449775343535,1.0,4.8843449775343535,3.5426434121095673,False
0.3,neural,0.9588657869531252,-1.0674849702323406,5,-0.6288468565551084,-0.3193147097481481,-0.09506026792247375,13.576937131102168,5.386294194962962,3.753013396123687,13.576937131102168,7.572081574062939,False
0.3,weak,0.19988004872475107,0.5716279551763013,5,-0.3430811697016196,0.30912683604108787,0.0072134513808765404,7.861623394032391,7.182536720821757,1.360672569043827,7.861623394032391,5.468277561299325,False
