noise_pct,method,coeff_V,coeff_SdVdS,coeff_S2d2VdS2,true_V,true_SdVdS,true_S2d2VdS2,rel_err_V,rel_err_SdVdS,rel_err_S2d2VdS2,max_rel_err,correct_structure
0.05,neural,-0.20624525133193966,-0.17392953819502713,-0.03329184607327632,0.05,-0.05,-0.020000000000000004,5.1249050266387925,2.4785907639005424,0.6645923036638158,5.1249050266387925,False
0.07,neural,-0.31223873003524666,-0.18248768197361154,-0.04471582014720851,0.05,-0.05,-0.020000000000000004,7.2447746007049325,2.6497536394722307,1.2357910073604252,7.2447746007049325,False
0.1,neural,-0.4186344425552625,-0.19812104720786433,-0.057159057236727574,0.05,-0.05,-0.020000000000000004,9.372688851105249,2.962420944157287,1.857952861836378,9.372688851105249,False
0.12,neural,-0.4657629022064744,-0.20914839602381702,-0.0632080856494618,0.05,-0.05,-0.020000000000000004,10.31525804412949,3.1829679204763406,2.1604042824730896,10.31525804412949,False
0.15,neural,-0.514642265061538,-0.22881047482404124,-0.07039040666478777,0.05,-0.05,-0.020000000000000004,11.29284530123076,3.5762094964808244,2.5195203332393876,11.29284530123076,False
0.2,neural,-0.5530197080380652,-0.2580427730826609,-0.07813089012692849,0.05,-0.05,-0.020000000000000004,12.060394160761305,4.160855461653218,2.9065445063464237,12.060394160761305,False
0.25,neural,-0.6259316089945909,-0.2883454314883141,-0.08932045917532759,0.05,-0.05,-0.020000000000000004,13.518632179891817,4.766908629766282,3.4660229587663784,13.518632179891817,False
0.3,neural,-0.6288468565551084,-0.3193147097481481,-0.09506026792247375,0.05,-0.05,-0.020000000000000004,13.576937131102168,5.386294194962962,3.753013396123687,13.576937131102168,False
0.0,weak,0.21924128992157388,0.0,0.01007929830459021,0.05,-0.05,-0.020000000000000004,3.3848257984314776,1.0,1.5039649152295103,3.3848257984314776,False
0.005,weak,0.21480258295004745,0.0079508031393581,0.01008860314007339,0.05,-0.05,-0.020000000000000004,3.296051659000949,1.159016062787162,1.5044301570036696,3.296051659000949,False
0.01,weak,0.2137820570200356,0.01325418115458044,0.010122273768853919,0.05,-0.05,-0.020000000000000004,3.275641140400712,1.2650836230916087,1.5061136884426958,3.275641140400712,False
0.02,weak,0.21039918596741894,0.025604262013881197,0.010020675409701143,0.05,-0.05,-0.020000000000000004,3.2079837193483782,1.5120852402776241,1.501033770485057,3.2079837193483782,False
0.03,weak,0.20527970810065682,0.037666566752850725,0.009973198784144644,0.05,-0.05,-0.020000000000000004,3.1055941620131366,1.7533313350570146,1.4986599392072322,3.1055941620131366,False
0.05,weak,0.18554035765974175,0.06441035562286898,0.009970266662771619,0.05,-0.05,-0.020000000000000004,2.710807153194835,2.2882071124573797,1.498513333138581,2.710807153194835,False
0.07,weak,0.1551269817471987,0.08997749767104408,0.010207527163564295,0.05,-0.05,-0.020000000000000004,2.1025396349439736,2.7995499534208816,1.5103763581782146,2.7995499534208816,False
0.1,weak,0.09745655940851262,0.1252682406423906,0.010546957518144003,0.05,-0.05,-0.020000000000000004,0.9491311881702524,3.505364812847812,1.5273478759072001,3.505364812847812,False
0.12,weak,0.05295782087792855,0.15010741091704596,0.010549464039293705,0.05,-0.05,-0.020000000000000004,0.059156417558570984,4.00214821834092,1.527473201964685,4.00214821834092,False
0.15,weak,-0.016476279433485473,0.18626318297247368,0.010299679498628783,0.05,-0.05,-0.020000000000000004,1.3295255886697093,4.725263659449473,1.514983974931439,4.725263659449473,False
0.2,weak,-0.13481315367307484,0.24189946244325222,0.009374483918299504,0.05,-0.05,-0.020000000000000004,3.6962630734614965,5.837989248865044,1.468724195914975,5.837989248865044,False
0.25,weak,-0.2424200552725437,0.28063022433289225,0.008204119321795985,0.05,-0.05,-0.020000000000000004,5.848401105450874,6.612604486657845,1.4102059660897992,6.612604486657845,False
0.3,weak,-0.3430811697016196,0.30912683604108787,0.0072134513808765404,0.05,-0.05,-0.020000000000000004,7.861623394032391,7.182536720821757,1.360672569043827,7.861623394032391,False
