seed,edge_idx,x_eval,activation
42,0,0.9396985173225403,-1.2679378986358643
42,1,0.9396985173225403,0.8520064353942871
42,0,0.9497487545013428,-1.2723381519317627
42,1,0.9497487545013428,0.85239577293396
42,0,0.9597989916801453,-1.2762138843536377
42,1,0.9597989916801453,0.8526244163513184
42,0,0.9698492288589478,-1.27953040599823
42,1,0.9698492288589478,0.8526773452758789
42,0,0.979899525642395,-1.2822527885437012
42,1,0.979899525642395,0.8525395393371582
42,0,0.9899497628211975,-1.2843462228775024
42,1,0.9899497628211975,0.8521960377693176
42,0,1.0,-1.2857762575149536
42,1,1.0,0.851631760597229
43,0,-1.0,2.2896616458892822
43,1,-1.0,0.5959770083427429
43,0,-0.9899497628211975,2.2851686477661133
43,1,-0.9899497628211975,0.598395824432373
43,0,-0.979899525642395,2.2796854972839355
43,1,-0.979899525642395,0.6005655527114868
43,0,-0.9698492288589478,2.2731130123138428
43,1,-0.9698492288589478,0.6024830341339111
43,0,-0.9597989916801453,2.265353202819824
43,1,-0.9597989916801453,0.6041440963745117
43,0,-0.9497487545013428,2.256308078765869
43,1,-0.9497487545013428,0.6055455803871155
43,0,-0.9396985173225403,2.245877981185913
43,1,-0.9396985173225403,0.606683611869812
43,0,-0.929648220539093,2.233964443206787
43,1,-0.929648220539093,0.6075546145439148
43,0,-0.9195979833602905,2.220470428466797
43,1,-0.9195979833602905,0.6081548929214478
43,0,-0.909547746181488,2.205296039581299
43,1,-0.909547746181488,0.6084811091423035
43,0,-0.8994975090026855,2.188342571258545
43,1,-0.8994975090026855,0.6085291504859924
43,0,-0.8894472122192383,2.1695122718811035
43,1,-0.8894472122192383,0.6082959771156311
43,0,-0.8793969750404358,2.1487064361572266
43,1,-0.8793969750404358,0.6077772974967957
43,0,-0.8693467378616333,2.125826358795166
43,1,-0.8693467378616333,0.6069697141647339
43,0,-0.8592965006828308,2.1007730960845947
43,1,-0.8592965006828308,0.6058698892593384
43,0,-0.8492462038993835,2.07344913482666
43,1,-0.8492462038993835,0.6044740676879883
43,0,-0.839195966720581,2.043755531311035
43,1,-0.839195966720581,0.602778434753418
43,0,-0.8291457295417786,2.0115931034088135
43,1,-0.8291457295417786,0.6007795333862305
43,0,-0.8190954923629761,1.976863980293274
43,1,-0.8190954923629761,0.5984734296798706
43,0,-0.8090452551841736,1.939469575881958
43,1,-0.8090452551841736,0.5958568453788757
43,0,-0.7989949584007263,1.8993107080459595
43,1,-0.7989949584007263,0.592926025390625
43,0,-0.7889447212219238,1.8562897443771362
43,1,-0.7889447212219238,0.5896772742271423
43,0,-0.7788944840431213,1.8103079795837402
43,1,-0.7788944840431213,0.5861071348190308
43,0,-0.7688442468643188,1.7612664699554443
43,1,-0.7688442468643188,0.5822117328643799
43,0,-0.7587939500808716,1.7090665102005005
43,1,-0.7587939500808716,0.577987790107727
43,0,-0.7487437129020691,1.6536107063293457
43,1,-0.7487437129020691,0.5734312534332275
43,0,-0.7386934757232666,1.5948905944824219
43,1,-0.7386934757232666,0.5685481429100037
43,0,-0.7286432385444641,1.53315007686615
43,1,-0.7286432385444641,0.5633701086044312
43,0,-0.7185929417610168,1.4686747789382935
43,1,-0.7185929417610168,0.5579333901405334
43,0,-0.7085427045822144,1.40175199508667
43,1,-0.7085427045822144,0.5522737503051758
43,0,-0.6984924674034119,1.3326679468154907
43,1,-0.6984924674034119,0.5464277267456055
43,0,-0.6884422302246094,1.2617090940475464
