kernel,edge_idx,x_eval,activation
RBF,0,0.2763819098472595,-0.8748831152915955
RBF,1,0.2763819098472595,0.6863862872123718
RBF,0,0.286432147026062,-0.8844820857048035
RBF,1,0.286432147026062,0.6863576769828796
RBF,0,0.2964824140071869,-0.8933550119400024
RBF,1,0.2964824140071869,0.6863418221473694
RBF,0,0.3065326511859894,-0.9015477299690247
RBF,1,0.3065326511859894,0.6863372325897217
RBF,0,0.31658291816711426,-0.9091060161590576
RBF,1,0.31658291816711426,0.6863428354263306
RBF,0,0.32663315534591675,-0.9160754084587097
RBF,1,0.32663315534591675,0.6863573789596558
RBF,0,0.3366834223270416,-0.9225021004676819
RBF,1,0.3366834223270416,0.6863796710968018
RBF,0,0.3467336595058441,-0.928431510925293
RBF,1,0.3467336595058441,0.6864084005355835
RBF,0,0.356783926486969,-0.9339097142219543
RBF,1,0.356783926486969,0.6864425539970398
RBF,0,0.3668341636657715,-0.9389824271202087
RBF,1,0.3668341636657715,0.6864806413650513
RBF,0,0.37688443064689636,-0.9436953067779541
RBF,1,0.37688443064689636,0.6865216493606567
RBF,0,0.38693466782569885,-0.9480941891670227
RBF,1,0.38693466782569885,0.6865643262863159
RBF,0,0.39698493480682373,-0.9522250890731812
RBF,1,0.39698493480682373,0.6866074204444885
RBF,0,0.4070351719856262,-0.9561336040496826
RBF,1,0.4070351719856262,0.686649739742279
RBF,0,0.4170854389667511,-0.959865391254425
RBF,1,0.4170854389667511,0.6866899132728577
RBF,0,0.4271356761455536,-0.9634666442871094
RBF,1,0.4271356761455536,0.6867270469665527
RBF,0,0.43718594312667847,-0.9669828414916992
RBF,1,0.43718594312667847,0.6867597103118896
RBF,0,0.44723618030548096,-0.9704598784446716
RBF,1,0.44723618030548096,0.6867866516113281
RBF,0,0.45728641748428345,-0.9739435315132141
RBF,1,0.45728641748428345,0.6868067979812622
RBF,0,0.4673366844654083,-0.9774796962738037
RBF,1,0.4673366844654083,0.6868187785148621
RBF,0,0.4773869216442108,-0.981113851070404
RBF,1,0.4773869216442108,0.686821460723877
RBF,0,0.4874371886253357,-0.9848920106887817
RBF,1,0.4874371886253357,0.6868135929107666
RBF,0,0.4974874258041382,-0.9888601303100586
RBF,1,0.4974874258041382,0.6867940425872803
RBF,0,0.5075376629829407,-0.9930599927902222
RBF,1,0.5075376629829407,0.6867618560791016
RBF,0,0.5175879597663879,-0.9975004196166992
RBF,1,0.5175879597663879,0.6867190599441528
RBF,0,0.5276381969451904,-1.002172589302063
RBF,1,0.5276381969451904,0.6866693496704102
RBF,0,0.5376884341239929,-1.007068395614624
RBF,1,0.5376884341239929,0.686616063117981
RBF,0,0.5477386713027954,-1.012178897857666
RBF,1,0.5477386713027954,0.6865628957748413
RBF,0,0.5577889680862427,-1.01749587059021
RBF,1,0.5577889680862427,0.6865134239196777
RBF,0,0.5678392052650452,-1.0230103731155396
RBF,1,0.5678392052650452,0.686471164226532
RBF,0,0.5778894424438477,-1.0287140607833862
RBF,1,0.5778894424438477,0.6864397525787354
RBF,0,0.5879396796226501,-1.0345982313156128
RBF,1,0.5879396796226501,0.6864227056503296
RBF,0,0.5979899764060974,-1.0406544208526611
RBF,1,0.5979899764060974,0.6864235401153564
RBF,0,0.6080402135848999,-1.0468740463256836
RBF,1,0.6080402135848999,0.6864458322525024
RBF,0,0.6180904507637024,-1.053248405456543
RBF,1,0.6180904507637024,0.6864932179450989
RBF,0,0.6281406879425049,-1.0597690343856812
RBF,1,0.6281406879425049,0.6865692138671875
RBF,0,0.6381909251213074,-1.0664271116256714
RBF,1,0.6381909251213074,0.6866774559020996
RBF,0,0.6482412219047546,-1.0732145309448242
RBF,1,0.6482412219047546,0.6868213415145874
RBF,0,0.6582914590835571,-1.0801222324371338
RBF,1,0.6582914590835571,0.6870046854019165
RBF,0,0.6683416962623596,-1.087141990661621
RBF,1,0.6683416962623596,0.6872308254241943
RBF,0,0.6783919334411621,-1.0942648649215698
RBF,1,0.6783919334411621,0.6875033974647522
RBF,0,0.6884422302246094,-1.101482629776001
RBF,1,0.6884422302246094,0.6878260374069214
RBF,0,0.6984924674034119,-1.1087864637374878
RBF,1,0.6984924674034119,0.6882022619247437
RBF,0,0.7085427045822144,-1.1161680221557617
RBF,1,0.7085427045822144,0.688635528087616
RBF,0,0.7185929417610168,-1.1236186027526855
RBF,1,0.7185929417610168,0.6891295909881592
RBF,0,0.7286432385444641,-1.1311293840408325
RBF,1,0.7286432385444641,0.6896879076957703
RBF,0,0.7386934757232666,-1.1386921405792236
RBF,1,0.7386934757232666,0.6903140544891357
RBF,0,0.7487437129020691,-1.1462981700897217
RBF,1,0.7487437129020691,0.6910115480422974
RBF,0,0.7587939500808716,-1.1539357900619507
RBF,1,0.7587939500808716,0.691782534122467
RBF,0,0.7688442468643188,-1.161576271057129
RBF,1,0.7688442468643188,0.6926201581954956
RBF,0,0.7788944840431213,-1.1691839694976807
RBF,1,0.7788944840431213,0.6935145854949951
RBF,0,0.7889447212219238,-1.1767234802246094
RBF,1,0.7889447212219238,0.694455623626709
RBF,0,0.7989949584007263,-1.184159517288208
RBF,1,0.7989949584007263,0.6954336166381836
RBF,0,0.8090452551841736,-1.1914572715759277
RBF,1,0.8090452551841736,0.6964383125305176
RBF,0,0.8190954923629761,-1.1985805034637451
RBF,1,0.8190954923629761,0.697459876537323
RBF,0,0.8291457295417786,-1.2054942846298218
RBF,1,0.8291457295417786,0.6984883546829224
RBF,0,0.839195966720581,-1.2121633291244507
RBF,1,0.839195966720581,0.6995136737823486
RBF,0,0.8492462038993835,-1.218551754951477
