l1_weight,edge_idx,x_eval,activation
0.001,0,0.909547746181488,-1.2624577283859253
0.001,1,0.909547746181488,0.9409968852996826
0.001,0,0.9195979833602905,-1.2684646844863892
0.001,1,0.9195979833602905,0.9413024187088013
0.001,0,0.929648220539093,-1.2741259336471558
0.001,1,0.929648220539093,0.9415637850761414
0.001,0,0.9396985173225403,-1.2794122695922852
0.001,1,0.9396985173225403,0.9417746067047119
0.001,0,0.9497487545013428,-1.284292221069336
0.001,1,0.9497487545013428,0.9419288635253906
0.001,0,0.9597989916801453,-1.288736343383789
0.001,1,0.9597989916801453,0.9420205354690552
0.001,0,0.9698492288589478,-1.2927141189575195
0.001,1,0.9698492288589478,0.9420434236526489
0.001,0,0.979899525642395,-1.2961958646774292
0.001,1,0.979899525642395,0.9419913291931152
0.001,0,0.9899497628211975,-1.2991505861282349
0.001,1,0.9899497628211975,0.9418582916259766
0.001,0,1.0,-1.3015484809875488
0.001,1,1.0,0.9416381120681763
0.01,0,-1.0,2.4735257625579834
0.01,1,-1.0,0.24194461107254028
0.01,0,-0.9899497628211975,2.465414047241211
0.01,1,-0.9899497628211975,0.26048988103866577
0.01,0,-0.979899525642395,2.455612897872925
0.01,1,-0.979899525642395,0.2772338092327118
0.01,0,-0.9698492288589478,2.4440879821777344
0.01,1,-0.9698492288589478,0.29225918650627136
0.01,0,-0.9597989916801453,2.4308061599731445
0.01,1,-0.9597989916801453,0.3056480884552002
0.01,0,-0.9497487545013428,2.4157333374023438
0.01,1,-0.9497487545013428,0.31748339533805847
0.01,0,-0.9396985173225403,2.3988356590270996
0.01,1,-0.9396985173225403,0.3278473913669586
0.01,0,-0.929648220539093,2.3800790309906006
0.01,1,-0.929648220539093,0.33682289719581604
0.01,0,-0.9195979833602905,2.3594305515289307
0.01,1,-0.9195979833602905,0.34449219703674316
0.01,0,-0.909547746181488,2.336855888366699
0.01,1,-0.909547746181488,0.35093793272972107
0.01,0,-0.8994975090026855,2.312321424484253
